facility_latitude,facility_longitude,type
36.3445963,127.4484096,guard
36.3016823,127.3529067,guard
36.3401541,127.3841354,guard
36.3698737,127.4270381,guard
36.3000231,127.3410255,guard
36.3761449,127.4211564,guard
36.3570623,127.3685944,guard
36.3458902,127.3944685,guard
36.3544421,127.4386484,guard
36.3121293,127.3798499,guard
36.3999648,127.40791,guard
36.2975378,127.331567,guard
36.3237341,127.4076794,guard
36.385652,127.3492767,guard
36.3135287,127.3805167,guard
36.3589076,127.3713554,guard
36.2991291,127.3364596,guard
36.3557486,127.3589485,guard
36.3205639,127.3987421,guard
36.2984018,127.318088,guard
36.3365917,127.4061369,guard
36.3691048,127.4345059,guard
36.3701642,127.4342246,guard
36.3629905,127.3351309,guard
36.3467282,127.3353939,guard
36.4003373,127.4243724,guard
36.2669349,127.4082878,guard
36.3550644,127.4545591,guard
36.3974948,127.4203455,guard
36.3872968,127.3504842,guard
36.4128482,127.4409915,guard
36.3690523,127.4310904,guard
36.3758096,127.4197325,guard
36.4480769,127.4234859,guard
36.3613111,127.3933066,guard
36.3307854,127.4236552,guard
36.3229892,127.3704858,guard
36.3236285,127.3767462,guard
36.2961353,127.3403551,guard
36.3607007,127.4261103,guard
36.3167621,127.3710578,guard
36.3406826,127.3992093,guard
36.4460358,127.4124804,guard
36.3600169,127.4120639,guard
36.3238445,127.3709773,guard
36.3574115,127.4305868,guard
36.3543583,127.3583915,guard
36.3506314,127.3986774,guard
36.3460087,127.3777058,guard
36.3572296,127.3706787,guard
36.3224017,127.3712305,guard
36.3534614,127.4418488,guard
36.3211487,127.4354975,guard
36.3094555,127.3996535,guard
36.3250109,127.4124293,guard
36.3166477,127.3947504,guard
36.3284127,127.4212579,guard
36.3334806,127.4152266,guard
36.301876,127.4583176,guard
36.3196493,127.3458957,guard
36.4420559,127.4249959,guard
36.2980314,127.3199843,guard
36.3460259,127.3673296,guard
36.3539533,127.3974348,guard
36.3006564,127.3783453,guard
36.2999456,127.338352,guard
36.38592,127.3790248,guard
36.3334918,127.3787958,guard
36.3159461,127.4634303,guard
36.2975378,127.331567,guard
36.3394493,127.4251646,guard
36.3579147,127.4204195,guard
36.3267304,127.3868159,guard
36.414641,127.4234698,guard
